時間,トラックA,トラックB,トラックC,トラックD,開始時間（計算用）,持ち時間
09:30 ~ 10:30,開場/受付,153教室,161教室,165教室,9:30,60
10:30 ~ 10:40,Opening Sherry,,,,10:30,10
10:40 ~ 11:00,Keynote Heiga,,,,10:40,20
11:00 ~ 11:10,村上学長挨拶,,,,11:00,10
11:10 ~ 11:20,休憩,,,,11:10,10
11:20 ~ 11:25,Findy スポンサーセッション,,,,11:20,5
11:25 ~ 12:05,Keynote Llion,,,,11:25,40
12:05 ~ 12:15,写真撮影,,,,12:05,10
12:15 ~ 13:25,昼休憩,,,,12:15,70
13:25 ~ 13:50,浅田稔 (25min),saku (GDE Web) トーク,太田満久 (GDE AI) トーク,藤井先生トーク + ファッションワークショップ (休憩込み80min),13:25,25
13:50 ~ 14:00,切り替え(タイムテーブルには記載しない),切り替え(タイムテーブルには記載しない),切り替え(タイムテーブルには記載しない),↓,13:50,10
14:00 ~ 14:25,竹内郁雄 (45min),はちさん,松田実法 (GDE AI) トーク,↓,14:00,25
14:25 ~ 14:45,↓,休憩,休憩,↓,14:25,20
14:45 ~ 15:00,休憩,休憩,休憩,休憩,14:45,15
15:00 ~ 15:25,"石黒浩 (オンライン, 60min) fixed",パネルディスカッション(SWE),"Aditya Joshi (GDE, AI) トーク [英語]",Haren Bhandari ハンズオン (60min),15:00,25
15:25 ~ 15:35,↓,↓,切り替え(タイムテーブルには記載しない),↓,15:25,10
15:35 ~ 16:00,↓,↓,adamrocker さん,↓,15:35,25
16:00 ~ 16:20,休憩,休憩,休憩,休憩,16:00,20
16:20 ~ 16:40,"落合陽一 (オンライン, 60min) ",パネルディスカッション(採用),"inductor (GDE, AI) トーク",福島ゆかり (GDE AI) ハンズオン (60min),16:20,20
16:40 ~ 16:50,↓,↓,切り替え(タイムテーブルには記載しない),↓,16:40,10
16:50 ~ 17:10,↓,↓,安藤幸央 トーク,↓,16:50,20
17:10 ~ 17:30,休憩,休憩,休憩,,17:10,20
17:30 ~ 17:50,今村先生 (25min),Lucasさん,村上さん(データラーニングギルド),,17:30,20
17:50 ~ 18:00,切り替え(タイムテーブルには記載しない),切り替え(タイムテーブルには記載しない),切り替え(タイムテーブルには記載しない),,17:50,10
18:00 ~ 18:20,LT大会,大石 (GDG Tokyo) トーク,山崎さん (java ring),,18:00,20
18:20 ~ 18:35,Closing,Closing,Closing,,18:20,15
18:35 ~ 18:55,懇親会会場へ移動,,,,18:35,20
18:55 ~ 20:35,懇親会,,,,18:55,100
20:35 ~ 20:35,,,,,20:35,
20:35 ~ 20:35,,,,,20:35,
20:35 ~ 20:35,,,,,20:35,
20:35 ~ 20:35,,,,,20:35,
20:35 ~ 20:35,,,,,20:35,
20:35 ~ 20:50,,,,,20:35,15
